
Command,Description
-y,"Specifies a Verilog library directory to search for module definitions. library_directory +define+macro the 'ifdef compiler directive. Usage % vlogan +define+macro <Verilog_source_filename> where, <Verilog_source_filename> specifies the name of the Verilog source file. Example % vlogan +define+macro a.v +delay_mode_distributed to zero delays. Uses only the delay specifications on all gates, switches, and continuous assignments. Analysis Options Usage % vlogan +delay_mode_distributed <Verilog_source_filename> Example % vlogan +delay_mode_distributed a.v +delay_mode_unit zero delays. Overrides all the delay specifications on all gates, switches, and continuous assignments to the shortest time precision argument of all the 'timescale compiler directives in the source code. The default time unit and time precision argument of the 'timescale compiler directive is 1s. Usage % vlogan +delay_mode_unit <Verilog_source_filename> Example % vlogan +delay_mode_unit a.v +delay_mode_zero and module paths. Usage % vlogan ++delay_mode_zero <Verilog_source_filename> Example % vlogan ++delay_mode_zero a.v -extinclude its extension. Usage % vlogan -extinclude <Verilog_source_filename> Analysis Options Example If source file a.v contains the following: `include ""b.sv"" module a(); reg ar; endmodule and if source file b.sv contains the following: module b(); logic ar; endmodule vlogan compiles b.sv for SystemVerilog with the following command line: % vlogan a.v +systemverilogext+.sv -extinclude -f analysis options. You can use Verilog comment characters such as // and /* */ to comment out entries in the file. Usage % vlogan -f <Verilog_source_filename> Example % vlogan -f file1.v -fauto Changes the lifetime of all functions that do not specify an explicit lifetime to automatic. Using -fauto is a best practice because it gives simulation the same semantics as synthesis. Usage % vlogan -fauto <Verilog_source_filename> Example % vlogan -fauto file1.v Analysis Options -file filename analysis options. time options that begin with a minus(-) character. Usage % vlogan -file filename <Verilog_source_filename> Example % vlogan -file filename file1.v -full64 Usage % vlogan -full64 <Verilog_source_filename> Example % vlogan -full64 file1.v -help Usage % vlogan -help <Verilog_source_filename> Example % vlogan -help file1.v Analysis Options -ignore keyword_argument specified. The keyword arguments are as follows: unique_checks Suppresses warning messages about unique if and unique case statements. priority_checks Suppresses warning messages about priority if and priority case statements. all Suppresses warning messages about unique if, unique case, priority if and priority case statements. For more details about the keyword arguments, refer to the The vlogan Utility section in Usage % vlogan -ignore <keyword_argument> <Verilog_source_filename> Example % vlogan -ignore priority_checks file1.v +incdir+directory compiler directive. You can specify more that one directory, separating each path name with the “+” character. Usage % vlogan +incdir+directory Example % vlogan +incdir+directory Analysis Options -incr_vlogan following: • source files analyzed by that same command in previous parsing iteration. • imported SV packages referenced at source files analyzed by that command. • command line user options (+define+) or vlogan command options. • shell environments. Note: If a change is detected, the vlogan command runs from scratch. Usage % vlogan -incr_vlogan Example % vlogan -incr_vlogan You can configure incremental vlogan to ignore certain changes in shell environments using the following commands: % vlogan -incr_vlogan -vts_ignore_env=Env1, Env2,... -l filename Usage % vlogan -l <Verilog_source_filename> Example % vlogan -l file1.v -liblist It specifies the library search order for resolving imported package definitions. The package references found while analyzing. Analysis Options When using multiple vlogan commands with same -work logical library, run the commands sequentially, and if one command uses -liblist, then ensure that all the remaining vlogan commands are using the same -liblist argument list. Refer the Example 2. Usage % vlogan -liblist <Verilog_source_filename> Example 1 % vlogan -liblist file1.v Example 2 %vlogan a.v -work shared_lib -liblist shared_lib+ovm_lib+common_lib %vlogan b.v -work shared_lib -liblist shared_lib+ovm_lib+common_lib %vlogan c.v -work shared_lib -liblist shared_lib+ovm_lib+common_lib +libext+extension+ extensions in a library directory. You can specify more than one extension, separating the extensions with the plus (+) character. For example, +libext+.v+.V+ specifies searching for files with either the .v or .V extension in a library. The order in which you add file name library with these file name extensions. Usage % vlogan +libext+extension+ <Verilog_source_filename> Example % vlogan +libext+extension+ a.v -libmap filename Usage % vlogan -libmap filename <Verilog_source_filename> Analysis Options Example % vlogan -libmap filename file1.v +liborder through the remainder of the library where vlogan finds the instance, then searching the subsequent library on the vlogan command line before searching in the first library in the command line. Usage % vlogan +liborder Example % vlogan +liborder +librescan module instances beginning with the first library in the vlogan command line. Usage % vlogan +librescan Example % vlogan +librescan +lint=[no]ID|none|all that is bad style but is often used in designs. Usage % vlogan +lint=[no]ID|none|all Example % vlogan +lint=[no]ID|none|all Analysis Options -location Usage % vlogan -location <Verilog_source_filename> Example % vlogan -location file1.v -nc Usage % vlogan -nc <Verilog_source_filename> Example % vlogan -nc file1.v -noinherit_timescale compilation unit of any source file that does not have an explicit 'timescale directive. Usage % vlogan -noinherit_timescale <Verilog_source_filename> Example % vlogan -noinherit_timescale=""10ps/1ps"" c.v a.v c.v +nowarnTFMPC during Verilog Compilation. Usage % vlogan +nowarnTFMPC Analysis Options Example % vlogan +nowarnTFMPC -ntb the OpenVera Language Reference Manual: Native Testbench. Usage % vlogan -ntb <Verilog_source_filename> Example % vlogan -ntb file1.v -ntb_define macro multiple macro names using the plus (+) character. Usage % vlogan -ntb_define macro <Verilog_source_filename> Example % vlogan -ntb_define macro file1.v -ntb_filext .ext extensions using the plus (+) character. Usage % vlogan -ntb_filext .ext <Verilog_source_filename> Example % vlogan -ntb_filext .ext file1.v Analysis Options -ntb_incdir directory_path include directories using the plus (+) character. Usage % vlogan -ntb_incdir directory_path <Verilog_source_filename> Example % vlogan -ntb_incdir directory_path file1.v -ova_file filename Usage % vlogan -ova_file <Verilog_source_filename> Example % vlogan -ova_file test.v -override_timescale=time_unit/time_precision directives in the source code and, like -timescale, provides a timescale for all module definitions that do not have a 'timescale compiler directive. Usage % vlogan -override_timescale=time_unit/time_precision <Verilog_source_filename> Example % vlogan -override_timescale=1ns/1ns file1.v file2.v file3.v -p1800_macro_expansion result that is accurate especially for SystemVerilog macros. Analysis Options Usage % vlogan [vlogan_options] test.sv -sverilog -p1800_macro_expansion Example Consider the following test case, test.sv: module top; logic [3:0] addr0_for_bank0='d10; `define VAR(ANUM,BNUM) addr``ANUM``_for_bank``BNUM `define NAME(STR) $display(`""`\`""STR`\`"" is %d\n`"",STR); `define ARG addr0_for_bank0 initial begin `NAME(`VAR(0,0)); `NAME(`ARG) end endmodule following output: ""`VAR(0,0)"" is 10 ""addr0_for_bank0"" is 10 following output: ""addr0_for_bank0"" is 10 ""addr0_for_bank0"" is 10 -psl You can include PSL in your design either by inlining the PSL using the //psl or /*psl */ pragmas in Verilog and SystemVerilog, and --psl pragma in VHDL, or by specifying the PSL in an external file using a verification unit (vunit). Usage usage: % vlogan -psl [vlogan_options] <verilog_file> Example The following examples show how to inline PSL in Verilog using the //psl and /*psl */ pragmas: In Verilog Analysis Options module mod; .... // psl a1: assert always {r1; r2; r3} @(posedge clk); /* psl A2: assert always {a;b} @(posedge clk); ... */ endmodule To simulate the PSL code that is inlined in a mixed design (test.v and dut.vhd), execute the following commands: % vlogan -psl test.v % vhdlan -psl dut.vhd % vcs -psl top % simv -q Usage % vlogan -q <Verilog_source_filename> Example % vlogan -q file1.v -sv_pragma SystemVerilog Assertions code that follow the sv_pragma keyword in a single line or multi- line comment. Usage % vlogan -sv_pragma <Verilog_source_filename> Example % vlogan -sv_pragma file1.v -sverilog Analysis Options Usage % vlogan -sverilog <Verilog_source_filename> Example % vlogan -sverilog file.v +systemverilogext+ext SystemVerilog LRM (IEEE Std 1800-2012) rules for all the source files on the vcs command line and not only the files with the specified extension. If you use a different file Usage % vlogan +systemverilogext+ext <Verilog_source_filename> Example % vlogan +systemverilogext+ext file.v -timescale=time_unit/time_precision 'timescale compiler directive and precede the source files that do. Usage % vlogan -timescale=time_unit/time_precision <Verilog_source_filename> Example % vlogan -timescale=1ns/1ns file1.v file2.v file3.v -u Usage % vlogan -u <Verilog_source_filename> Analysis Options Example % vlogan -u a.v -V[t] Usage % vlogan -V[t] <Verilog_source_filename> Example % vlogan -V[t] a.v -v library_file Usage % vlogan -v <library_file> <Verilog_source_filename> Example % vlogan -v library_file a.v +verilog1995ext+ext you to write Verilog 1995 code that would be invalid in Verilog 2001 or SystemVerilog code, such as using Verilog 2001 or SystemVerilog keywords, like localparam and logic, as names. Usage % vlogan +verilog1995ext+ext <Verilog_source_filename> Example % vlogan +verilog1995ext+ext file.v Analysis Options +verilog2001ext+ext Usage % vlogan +verilog2001ext+ext <Verilog_source_filename> Example % vlogan +verilog2001ext+ext file.v +warn=[no]ID|none|all Usage % vlogan +warn=[no]ID|none|all Example In the following warning message, the text string TFIPC is the message ID: Warning-[TFIPC] Too few instance port connections The following is the command for the above warning: % vlogan +warn=[no]ID|none|all,... -work library Maps a design library name to the logical library name WORK that receives the output of another library name in the setup file. Usage % vlogan -work <library> Example % vlogan -work libname1 Analysis Options -y library_directory looks in the source files in this directory for definitions of the module and UDP instances that VCS found in your source code. However, for which it did not find the corresponding module or UDP definitions in your source code. VCS looks in this directory for a file with the same name as the module or UDP identifier in the instance (not the instance name). If it finds this file, VCS looks in the file for the module or UDP definition to resolve the instance. Note: If you have multiple modules with the same name in different libraries, VCS Usage % vlogan -y <library_directory> Example If rev1/cell.v and rev2/cell.v and rev3/cell.v all exist and define the module cell(), and you issue the following command: % vlogan -y rev1 -y rev2 -y rev3 +libext+.v top.v VCS selects cell.v from rev1. However, if the top.v file has a `uselib compiler directive as shown below, then `uselib takes priority. //top.v `uselib directory = /proj/libraries/rev3 //rest of top module code //end top.v In this case, VCS uses rev3/cell.v when you issue the following command: % vlogan -y rev1 -y rev2 +libext+.v top.v want VCS to search for in these directories. This section describes the following:"
-debug_access,Enables the required debug capabilities in a simulation.
+dumpports+mxccn,Dumps CCN drivers when a target VHDL instance lies inside a VHDL connected through INOUT ports. | Dumps CCN drivers.
-f filename,Specifies a file that contains a list of path names to source files and required analysis options.
-help or -h,Lists descriptions of the most commonly used VCS compile and
-metadump,"Extracts the Extensible Markup Language (XML) files, which are required to create the top module"
-notice,Enables verbose diagnostic messages.
+optconfigfile,Specifies all the instances for which the UCLI dump command may be used to dump EVCD.
-sva_bind_enable,Tells VCS to bind the bind statements in a module with the design.
-memcbk,"-memcbk multidimensional arrays (MDAs). By default, -debug_access enables callbacks for memories and MDAs. reverse designer • Read and write for both variables and nets • PLI and value change callbacks and line callback • FSDB/VPD dumping capability • Debugging or dumping of cell ports • Class and thread debugging (no SystemVerilog Testbench debugging) • Driver debugging -debug_region+cellports. simulation mismatches. • Class and thread debugging (no SystemVerilog Testbench debugging) • Driver debugging simctrl • Class and thread debugging (no SystemVerilog Testbench debugging) • Driver debugging Line stepping • PLI and value change callbacks • Assertion control (not assertion dumping) • FSDB/VPD dumping capability is equivalent to:-debug_access+r+cbk+assert_c. • Class and thread debugging (no SystemVerilog Testbench debugging) • Driver debugging • Line stepping verbose          Reports the summary of all the -debug_access and -debug_region options verbose passed to the VCS command line. idents_db        Allows you to build the database at compile time for Verdi One Search. idents_so        Enables searching inside the shared libraries. Usage % vcs -debug_access(+<option_name>)* Example % vhdlan test.vhd % vlogan test1.v % vcs top -debug_access+r+cbk +dumpports+mxccn The Extended Value Change Dump (EVCD) file contains the CCN driver when the CCN is connected through INPUT or OUTPUT ports in Verilog-VHDL or VHDL-Verilog mixed designs. However, if a target VHDL instance lies inside a VHDL connected through INOUT Usage % vhdlan <design files> % vlogan <design file> +dumpports+mxccn Example In the following example, both testbench and DUT have VHDL and the design is mixed (VHDL and Verilog). The Verilog design has CCN which is connected to VHDL through the INOUT ports. % vhdlan <design files> % vlogan <design file> % vcs +optconfigfile+file_name.cfg -debug_access+r+cbk+drivers top_module +dumpports+mxccn -f filename analysis options. You can use Verilog comment characters such as // and /* */ to comment out entries in the file. Usage % vcs -f <source_filename> Example % vcs -f file1.v -force_list language forces/releases. Usage Example % vlogan -sverilog test_2.v % vhdlan test.vhd % vcs ex2_vhtop -debug_access+r+cbk filename.v -force_list -full64 Usage % vcs -full64 <filename_list> Example Run the example using the following commands: % vhdlan -full64 test.vhd % vlogan -full64 test.v % vcs top -full64 -gfile through a file for both Verilog and VHDL respectively. You must specify the file name, which contains the list of all generics and parameters that should be overridden, with the Usage % vcs top_level_entity_or_module -gfile parameters_or_generics_file other_options Example % vcs vh_top -gfile overrides.txt -gv|-gvalue specified in the command line. Usage % vcs test -gv Example % vhdlan test.vhd -vhdl08 % vcs test -gv size=16 %./simv -help or -h Usage % vcs -help or % vcs -h Example % vcs -help -ID Returns useful information, such as VCS version and build date, VCS compiler version (same as VCS), and your work station name, platform, and host ID (used in licensing). Usage % vcs -ID Example % vcs -ID -l filename VCS records messages from both elaboration and simulation in the same file. Usage % vcs -l <filename> Example % vcs -l log -metadump To extract the Extensible Markup Language (XML) files, which are required to create the Usage % vlogan <analyze_options> <source_file> % vcs -metadump <design_top> Example % vhdlan not_used.vhd % vlogan vllogic.v % vlogan vltop.v % vhdlan vhnet.vhd % vcs vltop -metadump % simv VCS generates the verilogMetadata.xml file for the Verilog code and the vhdlMetadata.xml file for the VHDL code, which can be accessed from the current working directory. -nc Usage % vcs -nc <filename_list> Example % vcs -nc top -notice This command enables verbose diagnostic messages. Usage % vcs -notice +optconfigfile To dump an Extended Value Change Dump (EVCD) file for mixed design flows, it is to specify all the instances for which the UCLI dump command may be used to dump EVCD. Usage <design_filename> Example % vcs +optconfigfile+file_name.cfg -debug_access+r+cbk+drivers file_name.v Where, file_name.cfg is the configuration file which allows you to specify the instances that needs to be dumped at compile time. -param_override=dont_report generic override messages in stdout and the compile log file. Usage % vcs <design_files> -pvalue|-gfile|-gv|-g -param_override=dont_report Example %vcs -sverilog t.v -pvalue P=10 -param_override=dont_report -psl You can include PSL in your design either by inlining the PSL using the //psl or /*psl */ pragmas in Verilog and SystemVerilog, and -psl pragma in VHDL, or by specifying the PSL in an external file using a verification unit (vunit). Usage is the usage: % vcs -psl [vcs_options] Verilog_files % vlogan -psl [vlogan_options] <verilog_file> % vhdlan -psl [vhdlan_options] <VHDL_file> Example The following examples shows how to inline PSL in Verilog using the //psl and /*psl */ pragmas, and in VHDL using the -psl pragma. In Verilog module mod; .... // psl a1: assert always {r1; r2; r3} @(posedge clk); /* psl A2: assert always {a;b} @(posedge clk); ... */ endmodule In VHDL USE ieee.std_logic_1164.all; entity vh_ent is ... end vh_ent; architecture arch_vh_ent of vh_ent is ... -- psl default clock is (clk'event and clk = '1'); -- psl sequence seq1 is {in1;[*2];test_sig}; -- psl property p1 is -- (never seq1); -- psl A1: assert p1 report "" : Assertion failed P1""; end arch_vh_ent; To simulate the PSL code that is inlined in a mixed design (test.v and dut.vhd), execute the following commands: % vlogan -psl test.v % vhdlan -psl dut.vhd % vcs -psl top % simv The following examples show how to use vunit to include PSL in the design. In Verilog vunit vunit1 (verilog_mod) { a1: assert always {r1; r2; r3} @(posedge clk); } In VHDL vunit test(vh_entity) { default clock is (clk'event and clk = '1'); property foo is always ({ a = '0'} |=> {(b = prev(b) and c = prev(c))}); assume foo; } To simulate both the PSL code inlined in a VHDL file (test.vhd), and the vunit specified in an external file (checker.psl or checker.txt), execute the following commands: % vhdlan -psl test.vhd checker.psl % vcs -psl top % simv or % vhdlan -psl test.vhd -pslfile checker.txt % vcs -psl top % simv -pvalue vcs command line. Usage % vcs -pvalue+hierarchical_name_of_parameter= value Example % vcs source.v -pvalue+test.d1.param1=33 -q Quiet mode; suppresses messages, such as those about the C compiler VCS is using, the source files VCS is parsing, the top-level modules, or the specified timescale. Usage % vcs -q Example % vhdlan -vhdl08 -nc example3.vhd % vlogan -sverilog -nc example3.v % vcs top -nc -q % ./simv -R This command runs the executable file immediately after VCS links it together. Usage % vcs -R <source_filename> Example To run the example, use the following commands: % vhdlan -vhdl08 test.vhd % vcs top -R -sva_bind_enable specify the module containing the required bind statements during elaboration along with your design top module/entity/configuration. Usage % vcs -sva_bind_enable <design_top/module/entity> [elab_options] Example Analyze all Verilog files and bind files using vlogan, and VHDL files using vhdlan. % vlogan [vlogan_options] Verilog_files % vlogan -sverilog [vlogan_options] Bind_files % vhdlan [vhdlan_options] VHDL_files Specify the module containing the required bind statements during elaboration along with your design top module/entity/configuration: % vcs -sva_bind_enable design_top bind_a [elab_options] The above command line elaborates and links the design, and the specified bind module, -sva_bind_enable tells VCS to bind the bind statements in bind_a with the design. -V Verbose mode; compiles verbosely. The compiler driver program prints the commands it executes as it runs the C compiler, assembler, and linker. Usage % vcs <file1.v> -v <file2.v> -v <file3.v> Example % vcs top.v -v 1.v -v 2.v This section describes the following : | -memcbk multidimensional arrays (MDAs). By default, -debug_access enables callbacks for memories and MDAs. reverse designer • Read and write for both variables and nets • PLI and value change callbacks and line callback • FSDB/VPD dumping capability • Debugging or dumping of cell ports • Class and thread debugging (no SystemVerilog Testbench debugging) • Driver debugging -debug_region+cellports. simulation mismatches. • Class and thread debugging (no SystemVerilog Testbench debugging) • Driver debugging Table 4         Supported Options of -debug_access (Continued) simctrl • Class and thread debugging (no SystemVerilog Testbench debugging) • Driver debugging Line stepping • PLI and value change callbacks • Assertion control (not assertion dumping) • FSDB/VPD dumping capability is equivalent to:-debug_access+r+cbk+assert_c. • Class and thread debugging (no SystemVerilog Testbench debugging) • Driver debugging • Line stepping verbose         Reports the summary of all the -debug_access and -debug_region options verbose passed to the VCS command line. idents_db       Allows you to build the database at compile time for Verdi One Search. idents_so       Enables searching inside the shared libraries. The following assertion debug options are supported with -debug_access: Table 5         Assertion Debug Options of -debug_access"
